count=498
[282] distance=0.126568 idx0=410 idx1=435
[283] distance=0.126914 idx0=217 idx1=209
[284] distance=0.127957 idx0=165 idx1=637
[285] distance=0.130745 idx0=196 idx1=766
[286] distance=0.130895 idx0=254 idx1=658
[287] distance=0.132072 idx0=536 idx1=517
[288] distance=0.132103 idx0=699 idx1=591
[289] distance=0.132964 idx0=427 idx1=437
[290] distance=0.133012 idx0=155 idx1=159
[291] distance=0.136269 idx0=355 idx1=377
[292] distance=0.137228 idx0=398 idx1=421
[293] distance=0.138143 idx0=411 idx1=442
[294] distance=0.138936 idx0=448 idx1=445
[295] distance=0.140894 idx0=207 idx1=215
[296] distance=0.141108 idx0=95 idx1=95
[297] distance=0.142771 idx0=868 idx1=326
[298] distance=0.145589 idx0=552 idx1=571
[299] distance=0.1472 idx0=194 idx1=205
[300] distance=0.147207 idx0=282 idx1=305
[301] distance=0.148403 idx0=163 idx1=165
[302] distance=0.148475 idx0=249 idx1=272
[303] distance=0.150001 idx0=175 idx1=611
[304] distance=0.150893 idx0=41 idx1=41
[305] distance=0.154976 idx0=422 idx1=441
[306] distance=0.155041 idx0=286 idx1=270
[307] distance=0.155112 idx0=502 idx1=546
[308] distance=0.155153 idx0=874 idx1=715
[309] distance=0.15633 idx0=572 idx1=577
[310] distance=0.158221 idx0=241 idx1=257
[311] distance=0.15843 idx0=570 idx1=511
[312] distance=0.160534 idx0=367 idx1=383
[313] distance=0.160745 idx0=493 idx1=516
[314] distance=0.161028 idx0=253 idx1=278
[315] distance=0.16269 idx0=102 idx1=100
[316] distance=0.162834 idx0=128 idx1=143
[317] distance=0.163593 idx0=470 idx1=470
[318] distance=0.163663 idx0=8 idx1=8
[319] distance=0.164227 idx0=40 idx1=40
[320] distance=0.164418 idx0=309 idx1=343
[321] distance=0.164642 idx0=298 idx1=292
[322] distance=0.164909 idx0=205 idx1=214
[323] distance=0.171121 idx0=267 idx1=267
[324] distance=0.171944 idx0=370 idx1=379
[325] distance=0.172658 idx0=515 idx1=519
[326] distance=0.173603 idx0=881 idx1=304
[327] distance=0.17418 idx0=350 idx1=376
[328] distance=0.175154 idx0=314 idx1=337
[329] distance=0.17566 idx0=327 idx1=348
[330] distance=0.176916 idx0=290 idx1=297
[331] distance=0.178861 idx0=469 idx1=481
[332] distance=0.184276 idx0=500 idx1=536
[333] distance=0.185534 idx0=121 idx1=117
[334] distance=0.186484 idx0=51 idx1=50
[335] distance=0.186525 idx0=495 idx1=550
[336] distance=0.187785 idx0=289 idx1=317
[337] distance=0.189225 idx0=512 idx1=504
[338] distance=0.190227 idx0=133 idx1=137
[339] distance=0.191675 idx0=304 idx1=316
[340] distance=0.191948 idx0=262 idx1=661
[341] distance=0.19388 idx0=287 idx1=335
[342] distance=0.195002 idx0=58 idx1=58
[343] distance=0.195562 idx0=278 idx1=323
[344] distance=0.196752 idx0=318 idx1=358
[345] distance=0.198265 idx0=498 idx1=529
[346] distance=0.199723 idx0=366 idx1=375
[347] distance=0.200944 idx0=396 idx1=364
[348] distance=0.201055 idx0=509 idx1=506
[349] distance=0.201087 idx0=386 idx1=391
[350] distance=0.201218 idx0=209 idx1=735
[351] distance=0.201685 idx0=252 idx1=726
[352] distance=0.205114 idx0=535 idx1=509
[353] distance=0.205897 idx0=602 idx1=576
[354] distance=0.206744 idx0=354 idx1=359
[355] distance=0.208785 idx0=786 idx1=221
[356] distance=0.209925 idx0=545 idx1=565
[357] distance=0.211662 idx0=203 idx1=244
[358] distance=0.216102 idx0=182 idx1=622
[359] distance=0.224909 idx0=147 idx1=647
[360] distance=0.225562 idx0=519 idx1=548
[361] distance=0.226717 idx0=122 idx1=123
[362] distance=0.230367 idx0=482 idx1=505
[363] distance=0.230845 idx0=574 idx1=570
[364] distance=0.241141 idx0=201 idx1=217
[365] distance=0.257784 idx0=169 idx1=178
[366] distance=0.259204 idx0=543 idx1=584
[367] distance=0.262653 idx0=277 idx1=281
[368] distance=0.26524 idx0=488 idx1=512
[369] distance=0.265965 idx0=646 idx1=587
[370] distance=0.266769 idx0=522 idx1=555
[371] distance=0.271694 idx0=193 idx1=227
[372] distance=0.276716 idx0=472 idx1=521
[373] distance=0.276985 idx0=400 idx1=424
[374] distance=0.277518 idx0=423 idx1=433
[375] distance=0.279024 idx0=230 idx1=247
[376] distance=0.284534 idx0=462 idx1=461
[377] distance=0.29028 idx0=337 idx1=389
[378] distance=0.294132 idx0=295 idx1=309
[379] distance=0.298969 idx0=225 idx1=241
[380] distance=0.30125 idx0=416 idx1=428
[381] distance=0.309631 idx0=505 idx1=478
[382] distance=0.310224 idx0=487 idx1=514
[383] distance=0.31937 idx0=333 idx1=340
[384] distance=0.325498 idx0=164 idx1=169
[385] distance=0.325972 idx0=259 idx1=224
[386] distance=0.326852 idx0=414 idx1=744
[387] distance=0.335302 idx0=365 idx1=373
[388] distance=0.336673 idx0=138 idx1=141
[389] distance=0.341338 idx0=464 idx1=464
[390] distance=0.341554 idx0=376 idx1=385
[391] distance=0.343379 idx0=222 idx1=248
[392] distance=0.344761 idx0=256 idx1=288
[393] distance=0.346976 idx0=187 idx1=739
[394] distance=0.35258 idx0=428 idx1=394
[395] distance=0.360872 idx0=325 idx1=356
[396] distance=0.377352 idx0=190 idx1=201
[397] distance=0.393496 idx0=180 idx1=186
[398] distance=0.394132 idx0=154 idx1=160
[399] distance=0.39597 idx0=458 idx1=457
[400] distance=0.399337 idx0=885 idx1=522
[401] distance=0.404703 idx0=465 idx1=446
[402] distance=0.405285 idx0=384 idx1=429
[403] distance=0.407451 idx0=379 idx1=662
[404] distance=0.424722 idx0=111 idx1=113
[405] distance=0.429657 idx0=134 idx1=135
[406] distance=0.435676 idx0=269 idx1=264
[407] distance=0.436918 idx0=793 idx1=382
[408] distance=0.440607 idx0=562 idx1=561
[409] distance=0.443953 idx0=517 idx1=541
[410] distance=0.449085 idx0=877 idx1=419
[411] distance=0.461164 idx0=474 idx1=469
[412] distance=0.495908 idx0=480 idx1=486
[413] distance=0.496445 idx0=595 idx1=601
[414] distance=0.503107 idx0=308 idx1=310
[415] distance=0.520925 idx0=553 idx1=573
[416] distance=0.528191 idx0=208 idx1=208
[417] distance=0.535884 idx0=340 idx1=686
[418] distance=0.535898 idx0=473 idx1=526
[419] distance=0.54742 idx0=671 idx1=598
[420] distance=0.556074 idx0=490 idx1=491
[421] distance=0.582644 idx0=150 idx1=158
[422] distance=0.588253 idx0=442 idx1=409
[423] distance=0.592597 idx0=583 idx1=568
[424] distance=0.597033 idx0=485 idx1=502
[425] distance=0.597679 idx0=317 idx1=351
[426] distance=0.604037 idx0=670 idx1=595
[427] distance=0.620664 idx0=402 idx1=393
[428] distance=0.624537 idx0=274 idx1=284
[429] distance=0.626661 idx0=578 idx1=559
[430] distance=0.628588 idx0=521 idx1=619
[431] distance=0.640913 idx0=596 idx1=599
[432] distance=0.64209 idx0=420 idx1=460
[433] distance=0.649257 idx0=418 idx1=425
[434] distance=0.681209 idx0=212 idx1=219
[435] distance=0.691596 idx0=645 idx1=585
[436] distance=0.713032 idx0=192 idx1=195
[437] distance=0.755236 idx0=342 idx1=355
[438] distance=0.774299 idx0=347 idx1=329
[439] distance=0.804942 idx0=557 idx1=562
[440] distance=0.807823 idx0=200 idx1=238
[441] distance=0.810748 idx0=525 idx1=531
[442] distance=0.828357 idx0=514 idx1=513
[443] distance=0.855251 idx0=446 idx1=477
[444] distance=0.88312 idx0=528 idx1=535
[445] distance=0.898903 idx0=279 idx1=311
[446] distance=0.900881 idx0=539 idx1=543
[447] distance=0.905507 idx0=729 idx1=607
[448] distance=0.906118 idx0=518 idx1=544
[449] distance=0.943948 idx0=374 idx1=410
[450] distance=0.944451 idx0=783 idx1=704
[451] distance=0.96072 idx0=476 idx1=520
[452] distance=0.961154 idx0=550 idx1=542
[453] distance=0.971431 idx0=468 idx1=482
[454] distance=1.04814 idx0=564 idx1=553
[455] distance=1.11886 idx0=577 idx1=575
[456] distance=1.13757 idx0=566 idx1=582
[457] distance=1.14644 idx0=450 idx1=465
[458] distance=1.17148 idx0=499 idx1=490
[459] distance=1.21721 idx0=508 idx1=554
[460] distance=1.25812 idx0=114 idx1=120
[461] distance=1.42721 idx0=471 idx1=508
[462] distance=1.51412 idx0=492 idx1=564
[463] distance=1.52056 idx0=658 idx1=593
[464] distance=1.55207 idx0=126 idx1=133
[465] distance=1.6307 idx0=136 idx1=638
[466] distance=1.63677 idx0=531 idx1=495
[467] distance=1.75221 idx0=161 idx1=156
[468] distance=1.78441 idx0=624 idx1=602
[469] distance=1.78804 idx0=491 idx1=523
[470] distance=2.01946 idx0=127 idx1=125
[471] distance=2.02433 idx0=368 idx1=336
[472] distance=2.1153 idx0=857 idx1=651
[473] distance=2.25431 idx0=693 idx1=600
[474] distance=2.27726 idx0=435 idx1=399
[475] distance=2.38158 idx0=524 idx1=534
[476] distance=2.45394 idx0=440 idx1=423
[477] distance=2.46012 idx0=879 idx1=416
[478] distance=2.48656 idx0=438 idx1=474
[479] distance=2.50827 idx0=854 idx1=620
[480] distance=2.53329 idx0=494 idx1=449
[481] distance=2.66593 idx0=546 idx1=574
[482] distance=2.69884 idx0=412 idx1=395
[483] distance=2.7407 idx0=831 idx1=733
[484] distance=2.90923 idx0=486 idx1=492
[485] distance=2.9369 idx0=202 idx1=723
[486] distance=2.94137 idx0=140 idx1=136
[487] distance=2.95115 idx0=532 idx1=434
[488] distance=2.98544 idx0=668 idx1=605
[489] distance=3.05332 idx0=247 idx1=231
[490] distance=3.38476 idx0=417 idx1=462
[491] distance=3.43515 idx0=312 idx1=362
[492] distance=3.51994 idx0=774 idx1=381
[493] distance=3.52879 idx0=444 idx1=450
[494] distance=3.54249 idx0=612 idx1=592
[495] distance=3.72117 idx0=713 idx1=597
[496] distance=3.88605 idx0=421 idx1=439
[497] distance=3.96929 idx0=606 idx1=549
